utc,lat,lon,dep
2010-01-30T06:23:06.270000Z,60.1001,-141.8845,12.63
2010-01-30T07:26:17.700000Z,59.8943,-141.4472,16.16
2010-01-30T08:10:23.590000Z,60.3015,-141.9326,8.83
2010-01-30T20:50:28.210000Z,60.465,-142.7661,28.64
2010-01-30T22:59:36.440000Z,60.7231,-142.6488,15.77
2010-01-31T01:59:03.840000Z,60.8249,-143.6313,15.0
2010-01-31T06:17:41.350000Z,60.0223,-140.427,8.82
2010-01-31T12:19:37.710000Z,60.8609,-142.996,51.21
2010-01-31T12:47:28.270000Z,60.4306,-142.4598,27.99
2010-01-31T13:02:42.970000Z,59.9025,-141.6474,17.53
2010-01-31T15:06:35.870000Z,61.2715,-141.0531,15.0
2010-01-31T23:08:18.300000Z,60.3812,-141.3473,16.13
2010-02-01T00:22:36.030000Z,60.3322,-141.1814,15.13
2010-02-01T06:35:52.420000Z,60.1936,-141.0809,72.37
2010-02-01T10:01:26.290000Z,60.4323,-143.4435,16.7
2010-02-01T11:24:53.400000Z,60.0679,-141.1565,20.62
2010-02-01T12:01:41.590000Z,60.2729,-141.1096,13.32
2010-02-01T14:44:18.330000Z,60.2435,-141.9394,8.22
2010-02-01T17:56:19.760000Z,61.4681,-142.0985,15.82
2010-02-01T18:33:59.410000Z,60.5374,-142.6493,27.42
2010-02-01T19:15:42.800000Z,60.3136,-139.9378,14.69
2010-02-01T22:40:15.240000Z,60.576,-143.1819,160.0
2010-02-01T23:30:22.090000Z,60.203,-141.4659,9.83
2010-02-02T03:20:56.300000Z,60.6498,-141.1381,15.0
2010-02-02T07:11:30.050000Z,60.4821,-141.7329,19.63
2010-02-02T12:15:05.700000Z,60.4609,-141.0509,14.12
2010-02-02T16:08:29.170000Z,60.1123,-141.2793,9.39
2010-02-02T16:16:02.280000Z,61.0971,-143.037,32.49
2010-02-02T17:48:33.670000Z,60.5415,-143.9857,79.78
2010-02-02T18:04:35.200000Z,61.5938,-142.1122,41.25
2010-02-02T18:41:56.430000Z,60.3059,-140.6416,15.0
2010-02-02T20:40:00.310000Z,60.027,-141.5278,0.02
2010-02-02T22:01:39.710000Z,60.2292,-141.1495,12.19
2010-02-02T23:09:13.970000Z,60.1236,-141.6017,12.49
2010-02-03T02:19:45.950000Z,60.1955,-141.5254,13.02
2010-02-03T04:16:57.220000Z,59.9316,-141.6417,15.24
2010-02-03T08:45:59.890000Z,61.5027,-141.0804,8.58
2010-02-03T14:28:06.080000Z,60.4699,-141.0949,14.28
2010-02-03T17:00:56.130000Z,60.1263,-140.6034,10.51
2010-02-03T17:52:52.940000Z,60.8828,-143.5734,15.0
2010-02-03T17:55:11.650000Z,60.5721,-142.6349,21.89
2010-02-03T19:30:57.950000Z,60.5203,-143.1651,10.02
2010-02-03T21:36:51.250000Z,60.1951,-141.635,14.72
2010-02-04T01:37:39.210000Z,60.2768,-141.0035,14.75
